Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
裏,うら,リ,"kembali, di tengah-tengah, di, membalikkan, dalam, pohon palem, telapak kaki, belakang, lapisan, sisi yang salah","裏返し【うらがえし】terbalik, sisi lain, berlawanan, membalikkan","裏返す【うらがえす】membalik ke dalam, berbalik arah, membalikkan","裏口【うらぐち】pintu belakang, pintu keluar belakang, tidak sah, terlarang, ilegal",https://kanjikana.com/id/kanji/裏?jlpt=2,812
暴,"あば.く, あば.れる","ボウ, バク","ledakan emosi, pujian, khawatir, kekuatan, kekerasan, kekejaman, kemarahan","暴力【ぼうりょく】kekerasan, kekacauan","暴風【ぼうふう】badai, badai angin, angin kencang","暴動【ぼうどう】pemberontakan, kerusuhan",https://kanjikana.com/id/kanji/暴?jlpt=2,692
補,おぎな.う,ホ,"suplemen, pasokan, buat yang baik, pembalasan, mengkompensasi, asisten, pelajar","補償【ほしょう】kompensasi, reparasi",補強【ほきょう】penguatan,"補充【ほじゅう】pengisian kembali, suplemen, penggantian, mengisi ulang",https://kanjikana.com/id/kanji/補?jlpt=2,332
録,"しる.す, と.る",ロク,rekaman,"登録【とうろく】pendaftaran, aksesi, mendaftar, entri, rekaman","付録【ふろく】lampiran, suplemen, aneks, edisi ekstra","記録【きろく】rekaman, menit, dokumen, rekor, hasil, ...",https://kanjikana.com/id/kanji/録?jlpt=2,546
効,"き.く, ききめ, なら.う",コウ,"jasa, efikasi, efisiensi, manfaat",効率【こうりつ】efisiensi,"無効【むこう】tidak valid, kosong, tidak efektif, tidak tersedia","効力【こうりょく】efek, efikasi, keabsahan, potensi",https://kanjikana.com/id/kanji/効?jlpt=2,538
改,"あらた.める, あらた.まる",カイ,"reformasi, perubahan, modifikasi, menambal, perbarui, memeriksa, pencarian","改定【かいてい】revisi, perubahan","改修【かいしゅう】memperbaiki, perbaikan","改訂【かいてい】revisi (teks), perubahan",https://kanjikana.com/id/kanji/改?jlpt=2,147
普,"あまね.く, あまねし",フ,"universal, luas(lebar), umumnya, prusia","普遍【ふへん】universal, umum, di mana-mana, ada di mana-mana","普及【ふきゅう】difusi, menyebar, populerisasi, pengesahan, pemfamiliaran","普段【ふだん】biasa, normal, sehari-hari, kebiasaan, biasanya, ...",https://kanjikana.com/id/kanji/普?jlpt=2,757
将,"まさ.に, はた, まさ, ひきい.る, もって","ショウ, ソウ","pemimpin, komandan, umum, laksamana, atau, dan lagi, segera, mulai sekarang, hampir tentang","将棋【しょうぎ】shogi, catur jepang","将来【しょうらい】masa depan, prospek (masa depan), membawa (dari luar negeri, daerah lain, dll.), membawa tentang, menimbulkan, ...",,https://kanjikana.com/id/kanji/将?jlpt=2,634
導,みちび.く,ドウ,"bimbingan, memimpin, melakukan, pemandu","導く【みちびく】membimbing, memimpin, menunjukkan jalan, melakukan, menurunkan, ...","主導【しゅどう】kepemimpinan, inisiatif, tombak","導入【どうにゅう】pengantar, membawa masuk, pemasangan, mengatur, impor, ...",https://kanjikana.com/id/kanji/導?jlpt=2,354
個,,"コ, カ","individu, penghitung artikel","個々【ここ】individu, satu per satu, pisahkan, masing-masing","個性【こせい】individualitas, kepribadian, keunikan, karakter, karakteristik individu","個体【こたい】individu, spesimen",https://kanjikana.com/id/kanji/個?jlpt=2,451
超,"こ.える, こ.す",チョウ,"melampaui, super-, ultra-","超【ちょう】super-, ultra-, hiper-, ekstrem, sangat, ...",,,https://kanjikana.com/id/kanji/超?jlpt=2,597
被,"こうむ.る, おお.う, かぶ.る, かぶ.せる",ヒ,"mendatangkan, penutup, kerudung, merenungkan, tempat perlindungan, pakai, memakai, terpapar (film), menerima","被害【ひがい】kerusakan, cedera, kerugian","被る【かぶる】memakai (di kepala), memakai, menarik ke atas (kepala), memahkotai (diri sendiri), ditutupi dengan (debu, salju, dll.), ...",,https://kanjikana.com/id/kanji/被?jlpt=2,431
丸,"まる, まる.める, まる.い",ガン,"bulat, penuh (bulan), kesempurnaan, -kapal, pil, membulatkan, menggulung, mengeritingkan diri, menggoda, membuat alasan","丸ごと【まるごと】secara keseluruhan, seluruh, seluruhnya","丸々【まるまる】montok, gempal, gembrot, seluruhnya, sepenuhnya","丸【まる】lingkaran, keseluruhan, seluruh, penuh, lengkap, ...",https://kanjikana.com/id/kanji/丸?jlpt=2,542
担,"かつ.ぐ, にな.う",タン,"membahu, membawa, mengangkat, beruang","分担【ぶんたん】mengambil bagian (misalnya, dalam pekerjaan), membagi (pekerjaan, biaya, dll.) di antara, pembagian, alokasi, tugas","負担【ふたん】beban, muat, tanggung jawab, menanggung, membahu","担う【になう】membawa di bahu, membahu, menanggung, mengambil tanggung jawab",https://kanjikana.com/id/kanji/担?jlpt=2,422
量,はか.る,リョウ,"kuantitas, ukur, berat, jumlah, pertimbangkan, perkiraan, dugaan","微量【びりょう】jumlah yang sangat kecil, kuantitas yang sangat kecil","重量【じゅうりょう】berat, petinju kelas berat","測量【そくりょう】pengukuran, pemetaan",https://kanjikana.com/id/kanji/量?jlpt=2,469
療,,リョウ,"sembuhkan, obat","治療【ちりょう】pengobatan medis, perawatan, terapi, obat","診療【しんりょう】diagnosis dan pengobatan, perawatan medis",医療【いりょう】perawatan medis,https://kanjikana.com/id/kanji/療?jlpt=2,600
辺,"あた.り, ほと.り, -べ",ヘン,"sekitar, batas, perbatasan","浜辺【はまべ】pantai, pesisir","周辺【しゅうへん】keliling, pinggiran, sekitar, di area tersebut, di sekitar, ...","辺り【あたり】di lingkungan, lingkungan, sekitar, dekat, tentang, ...",https://kanjikana.com/id/kanji/辺?jlpt=2,428
像,,ゾウ,"patung, gambar, angka, potret","映像【えいぞう】gambar (pada layar), gambar (misalnya di TV), video, film, rekaman, ...","像【ぞう】gambar, figur, patung, potret, angka, ...","仏像【ぶつぞう】patung Buddha, gambar buddha, patung buddha, citra buddha",https://kanjikana.com/id/kanji/像?jlpt=2,856
令,,レイ,"pesanan, hukum-hukum, perintah, dekrit, baik","指令【しれい】pesanan, instruksi, arah, perintah","命令【めいれい】pesan, perintah, dekrit, direktif, instruksi perangkat lunak, ...",,https://kanjikana.com/id/kanji/令?jlpt=2,804
階,きざはし,カイ,"lantai, tangga, penghitung lantai gedung","階【かい】lantai, cerita, tangga, tahap, penghitung lantai dan tingkat gedung","階層【かいそう】kelas, tingkat, lapisan, hierarki","階級【かいきゅう】kelas sosial, peringkat, nilai",https://kanjikana.com/id/kanji/階?jlpt=2,513
極,"きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる","キョク, ゴク","mengilapkan, pemukiman, kesimpulan, akhir, peringkat tertinggi, tiang listrik, sangat, paling, 10 pangkat 48","究極【きゅうきょく】terakhir, akhir, akhirnya","極楽【ごくらく】Sukhavati (Tanah Murni Amitabha), surga, surga di bumi","両極【りょうきょく】kedua ujung, kutub utara dan kutub selatan, kutub positif dan negatif",https://kanjikana.com/id/kanji/極?jlpt=2,460
細,"ほそ.い, ほそ.る, こま.か, こま.かい",サイ,"anggun, menjadi kurus, meruncing, langsing, sempit, terperinci, tepat","詳細【しょうさい】rincian, spesifik, terperinci, menit, tampilan dekat (dari peta digital), ...",細胞【さいぼう】sel,"細工【さいく】kerja, keterampilan kerja, kerajinan tangan, tipu daya, tipu, ...",https://kanjikana.com/id/kanji/細?jlpt=2,537
周,まわ.り,シュウ,"keliling, sirkuit, lap","周期【しゅうき】siklus, periode","周【しゅう】penghitung putaran atau sirkuit, keliling, Dinasti Zhou (di Tiongkok; sekitar 1046-256 SM), Dinasti Chou","周辺【しゅうへん】keliling, pinggiran, sekitar, di area tersebut, di sekitar, ...",https://kanjikana.com/id/kanji/周?jlpt=2,562
管,くだ,カン,"pipa, tabung, instrumen tiup, pembicaraan mabuk, kontrol, yurisdiksi","保管【ほかん】muatan, perwalian, penitipan, deposito, penyimpanan","血管【けっかん】pembuluh darah, urat","管理【かんり】kontrol, manajemen (misalnya dari sebuah bisnis)",https://kanjikana.com/id/kanji/管?jlpt=2,517
乱,"みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","ラン, ロン","kerusuhan, perang, gangguan, mengganggu","乱用【らんよう】penyalahgunaan, penyelewengan, menggunakan secara berlebihan","内乱【ないらん】perang saudara, pemberontakan, konflik domestik",反乱【はんらん】pemberontakan,https://kanjikana.com/id/kanji/乱?jlpt=2,755
府,,フ,"kabupaten, prefektur perkotaan, kantor pemerintah, badan perwakilan, gudang","政府【せいふ】pemerintah, administrasi, kementerian",,,https://kanjikana.com/id/kanji/府?jlpt=2,170
根,"ね, -ね",コン,"akar, radikal, kepala (jerawat)","根拠【こんきょ】dasar, dasar-dasar, alasan, otoritas, basis (operasi)","根底【こんてい】akar, dasar","根回し【ねまわし】meletakkan dasar, manuver di belakang layar, proses pembentukan konsensus, menggali di sekitar akar pohon (sebelum memindahkan)",https://kanjikana.com/id/kanji/根?jlpt=2,620
城,しろ,"ジョウ, セイ",kastil,"城下【じょうか】tanah dekat sebuah kastil, kota kastil",城【しろ】kastil,,https://kanjikana.com/id/kanji/城?jlpt=2,795
狙,"ねら.う, ねら.い","ソ, ショ","bidik pada, penglihatan, bayangan, tangkai","狙う【ねらう】mengarahkan (senjata, dll.), mengejar (sesuatu atau seseorang), memperhatikan, merencanakan untuk membuat milik sendiri, bertujuan untuk, ...",狙い【ねらい】tujuan,,https://kanjikana.com/id/kanji/狙?jlpt=2,745
香,"か, かお.り, かお.る","コウ, キョウ","dupa, bau, parfum","香辛料【こうしんりょう】bumbu, rempah-rempah","香水【こうすい】parfum, aroma","香り【かおり】aroma, wewangian, bau",https://kanjikana.com/id/kanji/香?jlpt=2,859
史,,シ,"sejarah, kronik",歴史【れきし】sejarah,,,https://kanjikana.com/id/kanji/史?jlpt=2,511
触,"ふ.れる, さわ.る, さわ",ショク,"kontak, sentuh, merasa, pukulan, mengumumkan, umumkan, konflik","接触【せっしょく】sentuh, kontak, menyentuh","感触【かんしょく】merasakan, sentuh, tekstur, sensasi, perasaan, ...","触れる【ふれる】menyentuh, merasa, menyentuh (dengan), mengalami, berhubungan dengan, ...",https://kanjikana.com/id/kanji/触?jlpt=2,904
逆,"さか, さか.さ, さか.らう","ギャク, ゲキ","terbalik, membalikkan, berlawanan, jahat","逆立ち【さかだち】berdiri dengan tangan, berdiri kepala, terbalik, berada dalam keadaan terbalik","逆転【ぎゃくてん】pembalikan (dari sebuah situasi), balik arah, pembalikan, membalikkan keadaan, perubahan mendadak, ...","逆さ【さかさ】terbalik, dari belakang ke depan",https://kanjikana.com/id/kanji/逆?jlpt=2,683
材,,ザイ,"kayu, catatan peristiwa, bahan-bahan, bakat",教材【きょうざい】materi pengajaran,"素材【そざい】bahan, bahan mentah, sumber daya, kayu mentah, materi pokok, ...","人材【じんざい】orang yang mampu, orang berbakat, sumber daya manusia, personil",https://kanjikana.com/id/kanji/材?jlpt=2,565
禁,,キン,"larangan, melarang",禁じる【きんじる】melarang,"禁止【きんし】larangan, inhibisi, melarang","禁煙【きんえん】berhenti merokok, berhenti merokok, larangan merokok, Dilarang Merokok, Dilarang Merokok",https://kanjikana.com/id/kanji/禁?jlpt=2,681
脳,のうずる,"ノウ, ドウ","otak, ingatan","脳【のう】otak, pikiran","首脳【しゅのう】kepala, pemimpin, atas, bagian penting","頭脳【ずのう】kepala, otak, intelek, pemahaman",https://kanjikana.com/id/kanji/脳?jlpt=2,459
象,かたど.る,"ショウ, ゾウ","gajah, meniru, gambar, bentuk, tanda zaman","象徴【しょうちょう】simbol abstrak, lambang, representasi","気象【きしょう】kondisi cuaca, sikap, watak","象【しょう】bentuk, angka, penampilan, fenomena",https://kanjikana.com/id/kanji/象?jlpt=2,394
恋,"こ.う, こい, こい.しい",レン,"romansa, jatuh cinta, merindukan, nyonya, sayang","恋愛【れんあい】cinta, pembuatan cinta, gairah, emosi, kasih sayang","恋する【こいする】jatuh cinta (dengan), mencintai","恋しい【こいしい】merindukan, dirindukan, terlewatkan",https://kanjikana.com/id/kanji/恋?jlpt=2,1296
希,"まれ, こいねが.う","キ, ケ","harapan, mengemis, permintaan, berdoa, memohon, yunani, encerkan (asam), langka, sedikit, fenomenal","希望【きぼう】harapan, keinginan, aspirasi, prospek (cerah)",,,https://kanjikana.com/id/kanji/希?jlpt=2,896
境,さかい,"キョウ, ケイ","batas, perbatasan, wilayah","境遇【きょうぐう】keadaan seseorang, lingkungan, situasi (dalam kehidupan)","環境【かんきょう】lingkungan, keadaan","国境【こっきょう】perbatasan, perbatasan nasional",https://kanjikana.com/id/kanji/境?jlpt=2,346
営,"いとな.む, いとな.み",エイ,"pekerjaan, kem, melakukan, membangun, melakukan bisnis","営む【いとなむ】menjalankan (bisnis), mengoperasikan, melakukan, berpraktik (hukum, kedokteran, dll.), melaksanakan, ...","運営【うんえい】manajemen, administrasi, operasi","経営【けいえい】manajemen, administrasi, operasi, menjalankan (bisnis), melakukan",https://kanjikana.com/id/kanji/営?jlpt=2,303
宇,,ウ,"talang, atap, rumah, surga","宇宙【うちゅう】alam semesta, kosmos, ruang angkasa",,,https://kanjikana.com/id/kanji/宇?jlpt=2,883
戸,と,コ,"pintu, penghitung untuk rumah, radikal pintu (no. 63)",戸【こ】rumah,雨戸【あまど】penutup badai geser,"戸棚【とだな】lemari, loker, lemari pakaian, kabinet",https://kanjikana.com/id/kanji/戸?jlpt=2,575
歴,,"レキ, レッキ","kurikulum, kelanjutan, perjalanan waktu","学歴【がくれき】latar belakang akademis, kredensial akademik, rekor akademik","履歴【りれき】riwayat pribadi, latar belakang, karier, catatan, rekaman, ...",歴史【れきし】sejarah,https://kanjikana.com/id/kanji/歴?jlpt=2,632
森,もり,シン,hutan,森林【しんりん】hutan,"森【もり】hutan, hutan suci",,https://kanjikana.com/id/kanji/森?jlpt=2,609
賞,ほ.める,ショウ,"hadiah, pujian","懸賞【けんしょう】menawarkan hadiah, kompetisi hadiah, hadiah","賞金【しょうきん】uang hadiah, penghargaan moneter, hadiah","賞品【しょうひん】hadiah, piala",https://kanjikana.com/id/kanji/賞?jlpt=2,426
奥,"おく, おく.まる, くま",オウ,"jantung, interior","奥【おく】bagian dalam, interior, belakang, kedalaman (mis. sebuah hutan), celah-celah (misalnya dari sebuah gua), ...","奥さん【おくさん】istri, istrimu, istrinya, wanita menikah, nona",,https://kanjikana.com/id/kanji/奥?jlpt=2,1018
党,"なかま, むら",トウ,"pesta, faksi, klik","与党【よとう】partai penguasa, partai pemerintah, partai yang berkuasa, pemerintah","野党【やとう】partai oposisi, oposisi",政党【せいとう】partai politik,https://kanjikana.com/id/kanji/党?jlpt=2,39
型,"かた, -がた",ケイ,"cetakan, jenis, model","模型【もけい】model, boneka, maket","型【かた】jenis, gaya, model, pola, cetakan, ...",,https://kanjikana.com/id/kanji/型?jlpt=2,482
波,なみ,ハ,"gelombang, ombak besar, polandia","津波【つなみ】tsunami, gelombang pasang",短波【たんぱ】gelombang pendek,"電波【でんぱ】gelombang radio, resepsi, sinyal, mengatakan hal-hal aneh",https://kanjikana.com/id/kanji/波?jlpt=2,740
焼,"や.く, や.き, や.き-, -や.き, や.ける",ショウ,"memanggang, membakar","日焼け【ひやけ】sengatan matahari, berjemur, cokelat muda, menjadi pudar karena matahari (misalnya kertas), menguning, ...","夕焼け【ゆうやけ】senja, matahari terbenam merah","焼く【やく】membakar, memanggang, memanaskan, memecat, berjemur, ...",https://kanjikana.com/id/kanji/焼?jlpt=2,982
簡,"えら.ぶ, ふだ","カン, ケン","kesederhanaan, kepadatan","簡易【かんい】kesederhanaan, kemudahan, semu-","簡潔【かんけつ】ringkas, singkat, padat","簡単【かんたん】sederhana, mudah, tidak rumit, singkat, cepat, ...",https://kanjikana.com/id/kanji/簡?jlpt=2,983
