Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
取,"と.る, と.り, と.り-, とり, -ど.り",シュ,mengambil,"取り出す【とりだす】membuang, menghasilkan, memilih, mengambil, mengambil kembali","取り消す【とりけす】membatalkan, menarik diri, mengurungkan, mencabut kembali (kata-kata, dll.), mencabut","取り入れる【とりいれる】memanen, menuai, mengambil, berkumpul di, mengadopsi, ...",https://kanjikana.com/id/kanji/取?jlpt=3,76
要,"い.る, かなめ",ヨウ,"butuh, poin utama, esensi, poros, kunci untuk","要旨【ようし】titik, kebutuhan pokok, intisari, ringkasan, dasar-dasar","要領【ようりょう】titik, intisari, kebutuhan pokok, prinsip-prinsip, garis besar, ...","重要【じゅうよう】penting, esensial, kepala sekolah, utama",https://kanjikana.com/id/kanji/要?jlpt=3,106
対,"あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","タイ, ツイ","tatap muka, berlawanan, bahkan, sama, melawan, anti-, bandingkan","対策【たいさく】ukur, langkah, tindakan pencegahan, rencana tandingan, langkah tandingan, ...","対照【たいしょう】kontras, antitesis, perbandingan","対立【たいりつ】konfrontasi, oposisi, antagonisme",https://kanjikana.com/id/kanji/対?jlpt=3,34
決,"き.める, -ぎ.め, き.まる, さ.く",ケツ,"memutuskan, memperbaiki, sepakati, menunjuk","解決【かいけつ】permukiman, solusi, terjemahan","決定【けってい】keputusan, tekad","決まり【きまり】aturan, peraturan, pemukiman, kesimpulan, akhir, ...",https://kanjikana.com/id/kanji/決?jlpt=3,71
変,"か.わる, か.わり, か.える",ヘン,"tidak biasa, perubahan, aneh","相変わらず【あいかわらず】seperti biasa, seperti sebelumnya, masih","変化【へんか】perubahan, variasi, mutasi, transisi, transformasi, ...","変更【へんこう】perubahan, modifikasi, revisi, amandemen",https://kanjikana.com/id/kanji/変?jlpt=3,61
所,"ところ, -ところ, どころ, とこ",ショ,"tempat, jangkauan","役所【やくしょ】kantor pemerintah, jabatan publik","名所【めいしょ】tempat terkenal, nama bagian, nama dan alamat","長所【ちょうしょ】kekuatan, jasa, kebajikan, keuntungan",https://kanjikana.com/id/kanji/所?jlpt=3,73
相,あい-,"ソウ, ショウ","antar-, saling, bersama, menteri negara, anggota dewan, aspek, fase, fisiognomi","相変わらず【あいかわらず】seperti biasa, seperti sebelumnya, masih","相互【そうご】saling, resiprokal","相違【そうい】perbedaan, ketidakcocokan, variasi",https://kanjikana.com/id/kanji/相?jlpt=3,45
関,"せき, -ぜき, かか.わる, からくり, かんぬき",カン,"koneksi, penghalang, gerbang, melibatkan, mengenai","関わる【かかわる】terpengaruh, dipengaruhi, khawatir tentang, berkaitan dengan, berpegang pada (pendapat)","税関【ぜいかん】bea cukai, gedung bea cukai","交通機関【こうつうきかん】alat transportasi, transportasi, fasilitas transportasi, sistem transportasi, sistem transit",https://kanjikana.com/id/kanji/関?jlpt=3,70
信,,シン,"iman, kebenaran, kesetiaan, percaya","信ずる【しんずる】percaya, percaya pada, mempercayai, menceritakan kepada, memiliki keyakinan pada","迷信【めいしん】takhayul, kepercayaan takhayul","信じる【しんじる】percaya, percaya pada, mempercayai, menceritakan rahasia kepada, memiliki kepercayaan pada",https://kanjikana.com/id/kanji/信?jlpt=3,87
感,,カン,"emosi, perasaan, sensasi","感想【かんそう】kesan, pikiran, perasaan, reaksi",感ずる【かんずる】merasakan,"実感【じっかん】perasaan nyata, perasaan sebenarnya, merasakan secara nyata, memiliki perasaan yang sebenarnya (bahwa ...), mengalami secara pribadi",https://kanjikana.com/id/kanji/感?jlpt=3,75
勝,"か.つ, -が.ち, まさ.る, すぐ.れる, かつ",ショウ,"kemenangan, menang, berhasil, excel","勝負【しょうぶ】kemenangan atau kekalahan, pertandingan, kontes, permainan, tentang","勝敗【しょうはい】kemenangan atau kekalahan, hasil (dari permainan, pertarungan, dll.)","優勝【ゆうしょう】kemenangan keseluruhan, kejuaraan, memenangkan gelar, (di) surga, kebahagiaan, ...",https://kanjikana.com/id/kanji/勝?jlpt=3,185
解,"と.く, と.かす, と.ける, ほど.く, ほど.ける, わか.る, さと.る","カイ, ゲ","mengurai, catatan, kunci, penjelasan, pemahaman, membuka, membatalkan, menyelesaikan, jawaban, batalkan, membebaskan, jelaskan, menit","解放【かいほう】melepaskan, pembebasan, membebaskan, dealokasi (memori komputer)","解く【ほどく】membatalkan, melepaskan, membuka, melepaskan tali, mengurai, ...","解散【かいさん】membubarkan (pertemuan, perkumpulan, dll.), pembubaran (misalnya, dari sebuah kerumunan), pembubaran (perusahaan, organisasi, dll.), likuidasi, pembubaran, ...",https://kanjikana.com/id/kanji/解?jlpt=3,176
調,"しら.べる, しら.べ, ととの.う, ととの.える",チョウ,"melodi, nada, meter, kunci (musik), gaya penulisan, persiapkan, mengusir setan, menyelidiki, menyelaraskan, memediasi","調整【ちょうせい】penyesuaian, peraturan, koordinasi, rekonsiliasi, penalaan, ...","調節【ちょうせつ】peraturan, penyesuaian, kontrol","調味料【ちょうみりょう】bumbu, perasa",https://kanjikana.com/id/kanji/調?jlpt=3,87
初,"はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め",ショ,"pertama kali, awal","初級【しょきゅう】tingkat dasar, tingkat pemula","最初【さいしょ】awal, pertama, permulaan","初めて【はじめて】untuk pertama kalinya, hanya setelah ... apakah itu ..., hanya ketika ... apakah Anda ..., tidak sampai ... apakah Anda ..., pertama kali, ...",https://kanjikana.com/id/kanji/初?jlpt=3,152
法,のり,"ホウ, ハッ, ホッ, フラン","metode, hukum, aturan, prinsip, model, sistem","寸法【すんぽう】pengukuran, ukuran, luas, dimensi, rencana, ...","法則【ほうそく】hukum, aturan","方法【ほうほう】metode, proses, cara, berarti, teknik",https://kanjikana.com/id/kanji/法?jlpt=3,100
違,"ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える",イ,"perbedaan, berbeda","勘違い【かんちがい】kesalahpahaman, ide yang salah, tebakan yang salah","相違【そうい】perbedaan, ketidakcocokan, variasi","間違い【まちがい】kesalahan, kesalahan besar, kecelakaan, masalah, perilaku tidak pantas (misalnya antara pria dan wanita), ...",https://kanjikana.com/id/kanji/違?jlpt=3,344
現,"あらわ.れる, あらわ.す, うつつ, うつ.つ",ゲン,"hadir, ada, sebenarnya","現に【げんに】sebenarnya, sungguh","現実【げんじつ】kenyataan, fakta keras","現在【げんざい】saat ini, waktu sekarang, sekarang, per tanggal, dunia ini, ...",https://kanjikana.com/id/kanji/現?jlpt=3,85
夫,"おっと, それ","フ, フウ, ブ","suami, pria","夫妻【ふさい】suami dan istri, pasangan suami istri","工夫【くふう】merancang (cara), merancang, menciptakan, memikirkan, mencari tahu, ...","夫婦【ふうふ】pasangan menikah, suami dan istri",https://kanjikana.com/id/kanji/夫?jlpt=3,65
内,うち,"ナイ, ダイ","dalam, antara, di antara, rumah","内線【ないせん】ekstensi telepon, kabel dalam ruangan, garis dalam","内科【ないか】penyakit dalam, departemen penyakit dalam","内容【ないよう】isi, konten, zat, benda, rincian, ...",https://kanjikana.com/id/kanji/内?jlpt=3,44
選,"えら.ぶ, え.る, よ.る",セン,"memilih, pilih","選手【せんしゅ】pemain, atlet, anggota tim","選択【せんたく】pilihan, seleksi",選ぶ【えらぶ】memilih,https://kanjikana.com/id/kanji/選?jlpt=3,57
次,"つ.ぐ, つぎ","ジ, シ","berikutnya, pesan, urutan","次ぐ【つぐ】mengikuti, datang setelah, datang selanjutnya, menempati peringkat berikutnya, menjadi peringkat kedua","目次【もくじ】daftar isi, isi","次第【しだい】tergantung pada, segera setelah, atas, seperti, apa saja, ...",https://kanjikana.com/id/kanji/次?jlpt=3,222
機,はた,キ,"menenun, mekanisme, mesin, pesawat, kesempatan, potensi, efikasi","交通機関【こうつうきかん】alat transportasi, transportasi, fasilitas transportasi, sistem transportasi, sistem transit","機関車【きかんしゃ】lokomotif, mesin",扇風機【せんぷうき】kipas angin,https://kanjikana.com/id/kanji/機?jlpt=3,127
面,"おも, おもて, つら","メン, ベン","topeng, wajah, fitur-fitur, permukaan","面積【めんせき】luas, satuan luas, ukuran (tanah), luas lantai","正面【しょうめん】depan, fasad, utama","面倒くさい【めんどくさい】mengganggu, melelahkan, repot untuk melakukan",https://kanjikana.com/id/kanji/面?jlpt=3,186
必,かなら.ず,ヒツ,"selalu, tertentu, tak terelakkan","必死【ひっし】heboh, putus asa, kematian yang tak terhindarkan, skakmat tak terelakkan","必ずしも【かならずしも】tidak selalu, tidak harus, tidak sepenuhnya, (tidak) semua","必要【ひつよう】perlu, diperlukan, esensial, tak tergantikan, kebutuhan, ...",https://kanjikana.com/id/kanji/必?jlpt=3,265
定,"さだ.める, さだ.まる, さだ.か","テイ, ジョウ","tentukan, memperbaiki, mendirikan, memutuskan","特定【とくてい】spesifik, khusus, ditunjuk, menentukan, menunjuk, ...","一定【いってい】tetap, menetap, konstan, pasti, seragam, ...","推定【すいてい】prasangka, asumsi, perkiraan",https://kanjikana.com/id/kanji/定?jlpt=3,48
成,"な.る, な.す, -な.す","セイ, ジョウ","berubah menjadi, menjadi, dapatkan, tumbuh, berlalu, mencapai","成立【せいりつ】formasi, pembentukan, materialisasi, muncul keberadaan, kesimpulan (misalnya dari sebuah kesepakatan), ...","行き成り【いきなり】tiba-tiba, tanpa peringatan","成分【せいぶん】bahan, komponen, komposisi",https://kanjikana.com/id/kanji/成?jlpt=3,116
引,"ひ.く, ひ.ける",イン,"tarik, sentakan, mengakui, pasang, kutipan, merujuk ke","引き受ける【ひきうける】mengambil, mengambil inisiatif, menerima, mengambil alih, mengambil tanggung jawab atas, ...","引き分け【ひきわけ】mengundi, permainan seri","差し引き【さしひき】pengurangan, keseimbangan, pasang surut, naik dan turun",https://kanjikana.com/id/kanji/引?jlpt=3,218
声,"こえ, こわ-","セイ, ショウ",suara,"声【こえ】suara, berkicau, berderik, mendengung, pendapat (sebagaimana diungkapkan dalam kata-kata), ...",,,https://kanjikana.com/id/kanji/声?jlpt=3,77
確,"たし.か, たし.かめる","カク, コウ","jaminan, teguh, ketat, keras, padat, konfirmasi, jelas","確率【かくりつ】probabilitas, kemungkinan, peluang","的確【てきかく】akurat, tepat, cocok, kanan","確認【かくにん】konfirmasi, verifikasi, validasi, ulasan, periksa, ...",https://kanjikana.com/id/kanji/確?jlpt=3,252
続,"つづ.く, つづ.ける, つぐ.ない","ゾク, ショク, コウ, キョウ","lanjutkan, seri, sekuel","手続き【てつづき】prosedur, proses, prosiding, formalitas","続々【ぞくぞく】berturut-turut, satu demi satu","接続【せつぞく】koneksi, lampiran, persatuan, bergabung, sendi, ...",https://kanjikana.com/id/kanji/続?jlpt=3,141
向,"む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い",コウ,"di sana, menghadapi, di luar, melawan, cenderung ke arah, pendekatan","方向【ほうこう】arah, orientasi, bantalan, cara, kursus (misalnya tindakan)","向ける【むける】berbelok (ke arah), menghadapi, menunjuk, membidik, mengarahkan ke, ...","向く【むく】berpaling menuju, melihat (ke atas, ke bawah, dll.), menghadap, mengawasi, menghadapi, ...",https://kanjikana.com/id/kanji/向?jlpt=3,182
受,"う.ける, -う.け, う.かる",ジュ,"terima, mengalami, jawab (telepon), mengambil, dapatkan, tangkap, menerima","引き受ける【ひきうける】mengambil, mengambil inisiatif, menerima, mengambil alih, mengambil tanggung jawab atas, ...",受話器【じゅわき】alat penerima (telepon),受け持つ【うけもつ】mengambil alih,https://kanjikana.com/id/kanji/受?jlpt=3,136
約,"つづ.まる, つづ.める, つづま.やか",ヤク,"janji, sekitar, menciut","契約【けいやく】kontrak, kompak, perjanjian","約【やく】sekitar, tentang, janji, pertunangan, penyingkat, ...",婚約【こんやく】pertunangan,https://kanjikana.com/id/kanji/約?jlpt=3,94
報,むく.いる,ホウ,"laporan, berita, hadiah, pembalasan","情報【じょうほう】informasi, berita, laporan, kecerdasan, informasi (data yang terkandung dalam karakter, sinyal, kode, dll.)","報告【ほうこく】laporan, informasi","予報【よほう】ramalan cuaca, prediksi",https://kanjikana.com/id/kanji/報?jlpt=3,167
平,"たい.ら, たい.らげる, ひら","ヘイ, ビョウ, ヒョウ","bahkan, datar, damai","平野【へいや】polos, lapangan terbuka","平日【へいじつ】hari kerja, hari biasa (yaitu bukan hari libur), radikal kanji 73","水平【すいへい】horizontal, tingkat, bahkan",https://kanjikana.com/id/kanji/平?jlpt=3,128
数,"かず, かぞ.える, しばしば, せ.める, わずらわ.しい","スウ, ス, サク, ソク, シュ","nomor, kekuatan, nasib, hukum, angka-angka",過半数【かはんすう】mayoritas,"枚数【まいすう】jumlah benda datar, perbedaan menang-kalah yang mempengaruhi peringkat pegulat","算数【さんすう】aritmatika, perhitungan",https://kanjikana.com/id/kanji/数?jlpt=3,148
好,"この.む, す.く, よ.い, い.い",コウ,"sayang, menyenangkan, menyukai sesuatu",友好【ゆうこう】persahabatan,"好き嫌い【すききらい】suka dan tidak suka, pemilih (tentang makanan), kecerewetan, rasa, preferensi","格好【かっこう】bentuk, figur, postur, berpose, penampilan, ...",https://kanjikana.com/id/kanji/好?jlpt=3,93
番,つが.い,バン,"berbelok, nomor dalam seri","留守番【るすばん】pengasuhan, penjagaan rumah, menjaga rumah, tinggal di rumah, pengasuh, ...","番地【ばんち】nomor rumah, alamat","番【ばん】nomor, giliran, jam tangan, penjaga, peringkat, ...",https://kanjikana.com/id/kanji/番?jlpt=3,348
神,"かみ, かん-, こう-","シン, ジン","dewa-dewa, pikiran, jiwa","神様【かみさま】tuhan, as, raja, orang yang superior, dewa (di antara manusia)","神話【しんわ】mitos, legenda","神【かみ】tuhan, dewa/dewi, ketuhanan, semangat, kami, ...",https://kanjikana.com/id/kanji/神?jlpt=3,347
直,"ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","チョク, ジキ, ジカ","langsung, kejujuran, memperbaiki","素直【すなお】patuh, penurut, jinak, tidak terpengaruh, jujur, ...","直前【ちょくぜん】tak lama sebelumnya, hanya sebelum, tepat di depan",直径【ちょっけい】diameter,https://kanjikana.com/id/kanji/直?jlpt=3,246
任,"まか.せる, まか.す",ニン,"tanggung jawab, tugas, istilah, percayakan kepada, menunjuk","就任【しゅうにん】pelantikan, mengambil (jabatan), pemasangan","責任【せきにん】tugas, tanggung jawab (termasuk pengawasan staf), tanggung jawab, beban","任せる【まかせる】menyerahkan, mempercayakan (kepada seseorang), mempercayakan (seseorang) dengan, membiarkan, mendedikasikan (diri untuk sesuatu), ...",https://kanjikana.com/id/kanji/任?jlpt=3,217
情,なさ.け,"ジョウ, セイ","perasaan, emosi, gairah, simpati, keadaan, fakta","純情【じゅんじょう】hati murni, keluguan, kepolosan","苦情【くじょう】keluhan, masalah, keberatan","情報【じょうほう】informasi, berita, laporan, kecerdasan, informasi (data yang terkandung dalam karakter, sinyal, kode, dll.)",https://kanjikana.com/id/kanji/情?jlpt=3,235
様,"さま, さん","ヨウ, ショウ","esq., cara, sikap, situasi, akhiran sopan","神様【かみさま】tuhan, as, raja, orang yang superior, dewa (di antara manusia)","様子【ようす】keadaan, situasi, penampilan, tampilan, udara, ...",王様【おうさま】raja,https://kanjikana.com/id/kanji/様?jlpt=3,74
件,くだん,ケン,"urusan, kasus, materi, barang","事件【じけん】acara, urusan, insiden, kasus, alur, ...","条件【じょうけん】kondisi, istilah, persyaratan, kualifikasi, prasyarat",,https://kanjikana.com/id/kanji/件?jlpt=3,212
助,"たす.ける, たす.かる, す.ける, すけ",ジョ,"bantu, penyelamatan, membantu","助かる【たすかる】diselamatkan, bertahan hidup, menghindari bahaya, terhindar dari kerusakan, dibantu, ...","助教授【じょきょうじゅ】dosen pembantu, dosen asosiasi","助ける【たすける】menyimpan, menyelamatkan, membantu, mendukung (secara finansial), berkontribusi (ke), ...",https://kanjikana.com/id/kanji/助?jlpt=3,397
化,"ば.ける, ば.かす, ふ.ける, け.する","カ, ケ","perubahan, mengambil bentuk, pengaruh, menghipnotis, menipu, -isasi","強化【きょうか】penguatan, mengintensifkan, peningkatan, pemadatan","消化【しょうか】pencernaan (makanan), pencernaan (informasi), asimilasi, pemahaman menyeluruh, konsumsi, ...","変化【へんか】perubahan, variasi, mutasi, transisi, transformasi, ...",https://kanjikana.com/id/kanji/化?jlpt=3,89
供,"そな.える, とも, -ども","キョウ, ク, クウ, グ","kirim, tawaran, hadir, sajikan (makanan), mendampingi","供給【きょうきゅう】pasokan, ketentuan","子供【こども】anak, anak-anak",,https://kanjikana.com/id/kanji/供?jlpt=3,313
記,しる.す,キ,"jurutulis, akun, narasi","記号【きごう】simbol, kode, tanda, notasi","伝記【でんき】biografi, kisah hidup","筆記【ひっき】mencatat, menyalin",https://kanjikana.com/id/kanji/記?jlpt=3,149
指,"ゆび, さ.す, -さ.し",シ,"jari, menunjuk ke, menunjukkan, masukkan ke dalam, bermain (catur), penggaris","目指す【めざす】bertujuan untuk, mencoba untuk, memperhatikan, menuju, menuju ke","小指【こゆび】jari kelingking, jari kaki kecil","中指【なかゆび】jari tengah, jari panjang, jari kedua, jari kaki tengah, jari kaki ketiga",https://kanjikana.com/id/kanji/指?jlpt=3,155
配,くば.る,ハイ,"mendistribusikan, pasangan, pengasingan, rasionisasi","配る【くばる】mendistribusikan, membagikan, mengantarkan, melayani, mengalokasikan, ...","気配【けはい】indikasi, tanda, petunjuk, sensasi, perasaan, ...","心配【しんぱい】khawatir, kekhawatiran, kecemasan, kegelisahan, ketakutan, ...",https://kanjikana.com/id/kanji/配?jlpt=3,359
務,つと.める,ム,"tugas, tugas-tugas","公務【こうむ】urusan resmi, bisnis publik","義務【ぎむ】tugas, kewajiban, tanggung jawab","事務【じむ】pekerjaan kantor, pekerjaan administrasi, administrasi, bisnis, urusan",https://kanjikana.com/id/kanji/務?jlpt=3,111
残,"のこ.る, のこ.す, そこな.う, のこ.り","ザン, サン","sisa, keseimbangan","残らず【のこらず】semua, sepenuhnya, tanpa kecuali","残す【のこす】meninggalkan, untuk meninggalkan, tidak selesai, menyimpan, menyisihkan, ...","残り【のこり】sisa, tersisa",https://kanjikana.com/id/kanji/残?jlpt=3,380
彼,"かれ, かの, か.の",ヒ,"dia, itu",彼ら【かれら】mereka,"彼女【かのじょ】dia (untuk perempuan), pacar perempuan","彼【かれ】dia, pacar",https://kanjikana.com/id/kanji/彼?jlpt=3,21
得,"え.る, う.る",トク,"keuntungan, dapatkan, temukan, menghasilkan, mendapatkan, dapat, mei, mampu, manfaat","心得る【こころえる】tahu, memahami, menyadari, menganggap sebagai, mengambil untuk, ...","損得【そんとく】kehilangan dan keuntungan, keuntungan dan kerugian","得る【うる】dapat ..., bisa ..., mendapatkan, menang, untuk mendapatkan, ...",https://kanjikana.com/id/kanji/得?jlpt=3,175
組,"く.む, くみ, -ぐみ",ソ,"asosiasi, kepang, membangun, merakit, bersatu, bekerjasama, bergulat","組み立てる【くみたてる】merakit, menyusun, mendirikan, membangun, menulis, ...","組み合わせ【くみあわせ】kombinasi, aneka, mengatur, pencocokan (dalam sebuah kontes), pemasangan","組【くみ】kelas, kelompok (orang), pesta, tim, awak, ...",https://kanjikana.com/id/kanji/組?jlpt=3,204
落,"お.ちる, お.ち, お.とす",ラク,"jatuh, jatuhkan, turun, desa, hamlet","落ち着く【おちつく】tenang, menenangkan diri, memulihkan ketenangan pikiran, bersantai, menenangkan, ...","落第【らくだい】gagal, gagal naik kelas, tidak memenuhi standar","洒落【しゃれ】lelucon, permainan kata, kelakar, berpakaian rapi, bergaya, ...",https://kanjikana.com/id/kanji/落?jlpt=3,420
警,いまし.める,ケイ,"menegur, perintah","警備【けいび】pertahanan, penjaga, polisi, keamanan","警告【けいこく】peringatan, saran","警察【けいさつ】polisi, petugas polisi, kantor polisi",https://kanjikana.com/id/kanji/警?jlpt=3,366
原,はら,ゲン,"padang rumput, asli, primitif, lapangan, datar, tundra, alam liar","原理【げんり】prinsip, teori, kebenaran mendasar","原料【げんりょう】bahan baku, bahan","原始【げんし】asal, awal, kejadian, prasejarah, purba, ...",https://kanjikana.com/id/kanji/原?jlpt=3,172
殺,"ころ.す, -ごろ.し, そ.ぐ","サツ, サイ, セツ","membunuh, pembunuhan, tukang daging, potong, membagi, berkurang, mengurangi, membusukkan","殺す【ころす】membunuh, menyembelih, menekan, memblokir, menghambat, ...",自殺【じさつ】bunuh diri,,https://kanjikana.com/id/kanji/殺?jlpt=3,71
失,"うしな.う, う.せる",シツ,"kehilangan, kesalahan, kerugian","過失【かしつ】kecelakaan (akibat kelalaian), kesalahan, kesalahan besar, cacat","失恋【しつれん】cinta yang kecewa, hati yang hancur, cinta tak berbalas, patah hati","失う【うしなう】kehilangan, melewatkan, kehilangan (seseorang yang dicintai), mengakui kekalahan (gol, poin, dll.)",https://kanjikana.com/id/kanji/失?jlpt=3,447
能,"よ.く, あた.う",ノウ,"kemampuan, bakat, keahlian, kapasitas","芸能【げいのう】hiburan publik, seni pertunjukan, prestasi, pencapaian","性能【せいのう】kemampuan, kinerja, efisiensi","能力【のうりょく】kemampuan, fakultas",https://kanjikana.com/id/kanji/能?jlpt=3,273
係,"かか.る, かかり, -がかり, かか.わる",ケイ,"penanggung jawab, koneksi, tugas, mengkhawatirkan diri sendiri","係【かかり】biaya, tugas, penanggung jawab, resmi, pegawai administrasi, ...","関係【かんけい】hubungan, koneksi, partisipasi, keterlibatan, kekhawatiran, ...",,https://kanjikana.com/id/kanji/係?jlpt=3,232
進,"すす.む, すす.める",シン,"maju, melanjutkan, kemajuan, mempromosikan","進める【すすめる】maju, memajukan (jam, arloji), melanjutkan, melanjutkan dengan, membuat kemajuan dalam, ...","前進【ぜんしん】maju, bergerak maju, kemajuan","進歩【しんぽ】kemajuan, maju, perbaikan, pengembangan",https://kanjikana.com/id/kanji/進?jlpt=3,142
経,"へ.る, た.つ, たていと, はか.る, のり","ケイ, キョウ, キン","sutera, garis bujur, lalui, kedaluwarsa, melengkung",経度【けいど】garis bujur,経験【けいけん】pengalaman,経つ【たつ】berlalu,https://kanjikana.com/id/kanji/経?jlpt=3,79
美,うつく.しい,"ビ, ミ","kecantikan, indah","美容【びよう】kecantikan, tubuh yang bagus, penampilan (yang indah), fitur-fitur (yang) indah, pengindahan, ...","美人【びじん】wanita cantik, kecantikan","美しい【うつくしい】cantik, menawan, manis, murni",https://kanjikana.com/id/kanji/美?jlpt=3,462
表,"おもて, -おもて, あらわ.す, あらわ.れる, あら.わす",ヒョウ,"permukaan, meja, diagram","図表【ずひょう】diagram, grafik, angka","公表【こうひょう】pengumuman resmi, proklamasi","表紙【ひょうし】sampul, mengikat, muncul di sampul majalah",https://kanjikana.com/id/kanji/表?jlpt=3,77
付,"つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき",フ,"melekat, lampirkan, merujuk ke, tambahkan","付き合う【つきあう】berkaitan dengan, menemani, pergi bersama dengan, berpacaran dengan, melanjutkan, ...","片付く【かたづく】dibereskan, diperbaiki, untuk dibuang, untuk diselesaikan, selesai, ...","寄付【きふ】kontribusi, donasi",https://kanjikana.com/id/kanji/付?jlpt=3,322
利,き.く,リ,"keuntungan, manfaat","利害【りがい】kelebihan dan kekurangan, kepentingan (para pihak)","権利【けんり】kanan, hak istimewa","利益【りえき】keuntungan, manfaat, baik, kepentingan (misalnya, masyarakat), anugerah (dari Tuhan, Buddha, dll., khususnya yang dicapai melalui tindakan yang benar, doa, kepatuhan pada kepercayaan seseorang, dll.), ...",https://kanjikana.com/id/kanji/利?jlpt=3,203
