Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
力,ちから,"リョク, リキ, リイ","kekuatan, kuat, ketegangan, bertahan, mengerahkan","協力【きょうりょく】kerja sama, kolaborasi, bantu, dukungan","努力【どりょく】upaya, usaha, kerja keras, berusaha","能力【のうりょく】kemampuan, fakultas",https://kanjikana.com/id/kanji/力?jlpt=4,58
場,ば,"ジョウ, チョウ","lokasi, tempat","立場【たちば】posisi, situasi, sudut pandang","場【ば】tempat, titik, ruang, lapangan, disiplin, ...","市場【いちば】pasar kota, pasar jalanan, pasar",https://kanjikana.com/id/kanji/場?jlpt=4,63
思,"おも.う, おもえら.く, おぼ.す",シ,berpikir,"不思議【ふしぎ】luar biasa, aneh, penasaran, ajaib, misterius, ...",思い出【おもいで】kenangan,"意思【いし】niat, keinginan, tujuan, keberatan",https://kanjikana.com/id/kanji/思?jlpt=4,26
動,"うご.く, うご.かす",ドウ,"bergerak, gerakan, ubah, kebingungan, berganti, menggoyangkan","行動【こうどう】aksi, perilaku, mobilisasi","移動【いどう】gerakan, transfer, migrasi, penghapusan, perjalanan, ...","動かす【うごかす】bergerak, berganti, mengaduk, mengubah posisi, menginspirasi, ...",https://kanjikana.com/id/kanji/動?jlpt=4,70
家,"いえ, や, うち","カ, ケ","rumah, keluarga, profesional, ahli, penampil","作家【さっか】penulis, novelis, seniman","一家【いっか】sebuah keluarga, sebuah rumah tangga, rumah, keluarga seseorang, seluruh keluarga, ...",家賃【やちん】sewa,https://kanjikana.com/id/kanji/家?jlpt=4,40
地,,"チ, ジ","tanah, bumi","地球【ちきゅう】bumi, bola dunia","地【ち】bumi, tanah, tempat, wilayah, dasar","地下【ちか】bawah tanah, di bawah tanah, dunia orang mati, kuburan, bawah tanah (aktivitas, gerakan, dll.), ...",https://kanjikana.com/id/kanji/地?jlpt=4,88
体,"からだ, かたち","タイ, テイ","tubuh, zat, obyek, kenyataan, penghitung untuk gambar","一体【いったい】apa itu, di dunia ini, siapa di bumi, satu objek, satu tubuh, ...","全体【ぜんたい】seluruh, keseluruhan, untuk memulai, pertama-tama, ... apa sih, ...","具体【ぐたい】kekonkretan, perwujudan",https://kanjikana.com/id/kanji/体?jlpt=4,68
作,"つく.る, つく.り, -づく.り","サク, サ","membuat, produksi, persiapkan, membangun","作品【さくひん】karya, kinerja, produksi","作業【さぎょう】kerja, operasi, tugas","作家【さっか】penulis, novelis, seniman",https://kanjikana.com/id/kanji/作?jlpt=4,67
持,"も.つ, -も.ち, も.てる",ジ,"tahan, memiliki","維持【いじ】pemeliharaan, pelestarian, perbaikan","持ち上げる【もちあげる】mengangkat, memuji berlebihan, memuji, memuji setinggi langit","気持ち【きもち】perasaan, sensasi, suasana hati, keadaan pikiran, kesiapan, ...",https://kanjikana.com/id/kanji/持?jlpt=4,62
明,"あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす","メイ, ミョウ, ミン","cerah, cahaya","証明【しょうめい】bukti, kesaksian, demonstrasi, verifikasi, sertifikasi","明らか【あきらか】jelas, polos, pasti, terang, cahaya","発明【はつめい】penemuan, pintar, memahami (sesuatu), pemahaman",https://kanjikana.com/id/kanji/明?jlpt=4,90
私,"わたくし, わたし",シ,"pribadi, saya",私【わたし】saya,,,https://kanjikana.com/id/kanji/私?jlpt=4,242
発,"た.つ, あば.く, おこ.る, つか.わす, はな.つ","ハツ, ホツ","keberangkatan, pelepasan, menerbitkan, mengeluarkan, mulai dari, membuka, penghitung tembakan","発見【はっけん】penemuan, deteksi","爆発【ばくはつ】ledakan, detonasi, meledak, letusan, ledakan (emosi), ...","出発【しゅっぱつ】keberangkatan, pergi, memulai perjalanan",https://kanjikana.com/id/kanji/発?jlpt=4,32
心,"こころ, -ごころ",シン,"jantung, pikiran, semangat, radikal jantung (no. 61)","心配【しんぱい】khawatir, kekhawatiran, kecemasan, kegelisahan, ketakutan, ...","心臓【しんぞう】jantung, keberanian, saraf, pipi, empedu, ...","中心【ちゅうしん】pusat, tengah, jantung, inti, fokus, ...",https://kanjikana.com/id/kanji/心?jlpt=4,49
意,,イ,"ide, pikiran, jantung, rasa, keinginan, perawatan, menyukai","得意【とくい】kepuasan, kebanggaan, kemenangan, kegembiraan, kelebihan seseorang, ...","意識【いしき】kesadaran, menjadi sadar, indera, mano-vijnana (kesadaran mental, pengenal informasi sensoris)","意外【いがい】tak terduga, mengejutkan",https://kanjikana.com/id/kanji/意?jlpt=4,83
度,"たび, -た.い","ド, ト, タク","derajat, kejadian, waktu, penghitung kejadian, pertimbangkan, sikap","態度【たいど】sikap, perilaku, bantalan, posisi, berdiri","度【ど】tepatnya, timbal, sepenuhnya, sangat banyak, sialan, ...","度【ど】derajat, penghitung kejadian, kekuatan (kacamata), resep kacamata, kandungan alkohol (persentase), ...",https://kanjikana.com/id/kanji/度?jlpt=4,80
知,"し.る, し.らせる",チ,"tahu, kebijaksanaan","承知【しょうち】pengetahuan, kesadaran, penerimaan, persetujuan, perjanjian, ...","知識【ちしき】pengetahuan, informasi","知らせ【しらせ】berita, kata, kabar, pemberitahuan, informasi, ...",https://kanjikana.com/id/kanji/知?jlpt=4,205
立,"た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","リツ, リュウ, リットル","berdiri, naik, mendirikan","立場【たちば】posisi, situasi, sudut pandang","立ち上がる【たちあがる】berdiri, bangun, naik, pulih, mengambil tindakan, ...","独立【どくりつ】kemerdekaan, kemandirian, mendukung diri sendiri, sendirian, kebebasan, ...",https://kanjikana.com/id/kanji/立?jlpt=4,58
通,"とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う","ツウ, ツ","lalu lintas, melewati, jalan raya, perjalanan pulang-pergi, penghitung untuk surat, catatan, dokumen, dll.","通信【つうしん】korespondensi, komunikasi, transmisi, berita, sinyal, ...","通り【とおり】jalan, cara, datang dan pergi, lalu lintas jalan, aliran, ...","通じる【つうじる】dibuka (untuk lalu lintas), mengarah ke, berkomunikasi (dengan), mengalir, lulus, ...",https://kanjikana.com/id/kanji/通?jlpt=4,80
不,,"フ, ブ","negatif, bukan-, buruk, jelek, ceroboh","不安【ふあん】kecemasan, kegelisahan, khawatir, kekhawatiran, ketakutan, ...","不思議【ふしぎ】luar biasa, aneh, penasaran, ajaib, misterius, ...","不満【ふまん】ketidakpuasan, keluhan, ketidakbahagiaan",https://kanjikana.com/id/kanji/不?jlpt=4,95
員,,イン,"karyawan, anggota, nomor, yang bertanggung jawab","全員【ぜんいん】semua anggota, semua tangan, semua orang, seluruh awak","議員【ぎいん】anggota majelis, anggota parlemen, anggota Kongres","会員【かいいん】anggota, keanggotaan",https://kanjikana.com/id/kanji/員?jlpt=4,54
物,"もの, もの-","ブツ, モツ","benda, obyek","本物【ほんもの】barang asli, hal yang nyata, kesepakatan nyata","人物【じんぶつ】orang, karakter, angka, tokoh, pria, ...","物語【ものがたり】cerita, dongeng, narasi, akun, legenda",https://kanjikana.com/id/kanji/物?jlpt=4,41
的,まと,テキ,"mata banteng, tanda, sasaran, obyek, akhiran kata sifat","目的【もくてき】tujuan, obyektif, niat","積極的【せっきょくてき】positif, tegas, aktif, proaktif, agresif",,https://kanjikana.com/id/kanji/的?jlpt=4,97
問,"と.う, と.い, とん",モン,"pertanyaan, tanya, masalah","疑問【ぎもん】ragu, pertanyaan, kecurigaan, keraguan",問い【とい】pertanyaan,"訪問【ほうもん】panggilan, kunjungan",https://kanjikana.com/id/kanji/問?jlpt=4,64
用,もち.いる,ヨウ,"gunakan, bisnis, layanan, mempekerjakan","信用【しんよう】kepercayaan diri, kepercayaan, iman, reputasi, kredit (keuangan)","使用【しよう】gunakan, aplikasi, pekerjaan, pemanfaatan","用心【ようじん】perawatan, pencegahan, menjaga, hati-hati",https://kanjikana.com/id/kanji/用?jlpt=4,107
新,"あたら.しい, あら.た, あら-, にい-",シン,baru,"新た【あらた】baru, segar, novel",新鮮【しんせん】segar,新聞社【しんぶんしゃ】perusahaan surat kabar,https://kanjikana.com/id/kanji/新?jlpt=4,51
田,た,デン,sawah,田【た】sawah,"田舎【いなか】daerah pedesaan, pedesaan, tongkat-tongkat, kampung halaman",,https://kanjikana.com/id/kanji/田?jlpt=4,90
代,"か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ","ダイ, タイ","pengganti, perubahan, mengubah, ganti, periode, usia, penghitung untuk dekade-dekade usia, era, dll., generasi, mengisi daya, tingkat, biaya","年代【ねんだい】usia, zaman, periode, tanggal","代理【だいり】representasi, agensi, proksi, agen, perwakilan, ...","近代【きんだい】hari ini, zaman modern, masa kini, periode modern awal (di Jepang, biasanya dari Restorasi Meiji hingga akhir Perang Dunia II)",https://kanjikana.com/id/kanji/代?jlpt=4,66
世,よ,"セイ, セ, ソウ","generasi, dunia, masyarakat, umum","世話【せわ】perawatan, merawat, bantu, bantuan, masalah, ...","世紀【せいき】abad, zaman","世の中【よのなか】masyarakat, dunia, waktu-waktu",https://kanjikana.com/id/kanji/世?jlpt=4,135
死,"し.ぬ, し.に-",シ,"kematian, mati","必死【ひっし】heboh, putus asa, kematian yang tak terhindarkan, skakmat tak terelakkan","死ぬ【しぬ】mati, meninggal, kehilangan semangat, terlihat mati, menghentikan",,https://kanjikana.com/id/kanji/死?jlpt=4,59
開,"ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける",カイ,"buka, membuka, membuka segel","開始【かいし】mulai, peresmian, awal, inisiasi","開く【ひらく】membuka, membatalkan, membuka segel, membongkar, mekar, ...","開く【あく】membuka, kosong, tersedia, bebas, terbuka, ...",https://kanjikana.com/id/kanji/開?jlpt=4,59
社,やしろ,シャ,"perusahaan, teguh, kantor, asosiasi, kuil","社長【しゃちょう】presiden perusahaan, manajer, direktur","社会【しゃかい】masyarakat, umum, komunitas, dunia, ilmu sosial",神社【じんじゃ】kuil shinto,https://kanjikana.com/id/kanji/社?jlpt=4,21
無,な.い,"ム, ブ","ketiadaan, tidak ada, bukan, nol, tidak","無事【ぶじ】keselamatan, keamanan, kedamaian, tenang, dengan aman, ...",無視【むし】mengabaikan,"無駄【むだ】kesia-siaan, sampah, ketidakgunaan, ketidakbermaknaan, kemalasan",https://kanjikana.com/id/kanji/無?jlpt=4,72
強,"つよ.い, つよ.まる, つよ.める, し.いる, こわ.い","キョウ, ゴウ",kuat,"強盗【ごうとう】perampok, penodong, perampokan, pencurian",強力【きょうりょく】kuat,"強調【きょうちょう】penekanan, stres, menyoroti, menggarisbawahi, menekankan, ...",https://kanjikana.com/id/kanji/強?jlpt=4,112
教,"おし.える, おそ.わる",キョウ,"mengajar, iman, doktrin","教授【きょうじゅ】profesor, mengajar, instruksi",教師【きょうし】guru,"宗教【しゅうきょう】agama, afiliasi agama, keyakinan, iman, kredo, ...",https://kanjikana.com/id/kanji/教?jlpt=4,166
野,"の, の-","ヤ, ショ","dataran, lapangan, pedesaan, kehidupan sipil","野【の】polos, lapangan, anggota (struktural) tersembunyi, liar, tidak memiliki jabatan politik","分野【ぶんや】bidang, bola, wilayah, divisi, cabang",野菜【やさい】sayuran,https://kanjikana.com/id/kanji/野?jlpt=4,120
正,"ただ.しい, ただ.す, まさ, まさ.に","セイ, ショウ","benar, keadilan, 10 pangkat 40","正直【しょうじき】jujur, frank, langsung, terus terang","正確【せいかく】akurat, benar, tepat","正式【せいしき】formulir jatuh tempo, resmi, kesopanan",https://kanjikana.com/id/kanji/正?jlpt=4,143
業,わざ,"ギョウ, ゴウ","bisnis, pekerjaan, seni, kinerja","作業【さぎょう】kerja, operasi, tugas","企業【きぎょう】perusahaan, bisnis","営業【えいぎょう】bisnis, perdagangan, operasi, penjualan",https://kanjikana.com/id/kanji/業?jlpt=4,43
題,,ダイ,"topik, subjek","話題【わだい】topik, subjek, banyak dibicarakan, topikal, dalam berita, ...","題【だい】judul, subyek, tema, topik, soal (dalam sebuah tes), ...","問題【もんだい】pertanyaan (misalnya pada tes), masalah, masalah (misalnya sosial, politik), pertanyaan, subyek (misalnya dari penelitian), ...",https://kanjikana.com/id/kanji/題?jlpt=4,96
使,"つか.う, つか.い, -つか.い, -づか.い",シ,"gunakan, mengirim dalam sebuah misi, pesan, kurir, utusan, duta besar, penyebab","使用【しよう】gunakan, aplikasi, pekerjaan, pemanfaatan",大使【たいし】duta besar,"使う【つかう】menggunakan, menggunakan (seseorang, hewan, boneka, dll.), mempekerjakan, mengelola, memanipulasi, ...",https://kanjikana.com/id/kanji/使?jlpt=4,219
考,"かんが.える, かんが.え",コウ,"pertimbangkan, pertimbangkan kembali","考え【かんがえ】berpikir, pikiran, pemandangan, pendapat, konsep, ...","参考【さんこう】referensi, konsultasi","考慮【こうりょ】pertimbangan, mempertimbangkan",https://kanjikana.com/id/kanji/考?jlpt=4,196
界,,カイ,"dunia, batas","限界【げんかい】batas, terikat","世界【せかい】dunia, masyarakat, alam semesta, bola, lingkaran, ...",,https://kanjikana.com/id/kanji/界?jlpt=4,158
別,"わか.れる, わ.ける",ベツ,"pisahkan, bercabang, berbeda, garpu, lain, tambahan, khususnya","別に【べつに】(tidak) terutama, terutama tidak, (tidak) khususnya, terpisah, selain itu, ...","別れ【わかれ】perpisahan, pemisahan, selamat tinggal","差別【さべつ】pembeda, diferensiasi, diskriminasi, diskriminasi (terhadap orang)",https://kanjikana.com/id/kanji/別?jlpt=4,214
以,もっ.て,イ,"dengan, karena, mengingat, dibandingkan dengan","以前【いぜん】sebelum, lalu, masa lalu, sebelumnya, zaman dulu","以来【いらい】sejak, mulai sekarang","以上【いじょう】tidak kurang dari ..., ... dan lebih, ... dan di atas, ... dan ke atas, ... atau lebih, ...",https://kanjikana.com/id/kanji/以?jlpt=4,126
元,もと,"ゲン, ガン","awal, masa lalu, asal","元【もと】asal, sumber, dasar, akar, penyebab, ...","元【もと】mantan, masa lalu, satu kali, keadaan sebelumnya, sebelumnya, ...","元気【げんき】hidup, penuh semangat, energik, bersemangat, vital, ...",https://kanjikana.com/id/kanji/元?jlpt=4,192
待,"ま.つ, -ま.ち",タイ,"tunggu, bergantung pada","期待【きたい】harapan, antisipasi, menjanjikan, naik, berkembang",招待【しょうたい】undangan,"待つ【まつ】menunggu, menantikan, mengantisipasi, bergantung pada, memerlukan",https://kanjikana.com/id/kanji/待?jlpt=4,50
安,"やす.い, やす.まる, やす, やす.らか",アン,"bersantai, murah, rendah, tenang, beristirahat, puas, damai","不安【ふあん】kecemasan, kegelisahan, khawatir, kekhawatiran, ketakutan, ...","安定【あんてい】stabilitas, keteguhan, konsistensi, kesetimbangan, keseimbangan, ...","安心【あんしん】ketenangan pikiran, bantuan, rasa aman, keselamatan, jaminan, ...",https://kanjikana.com/id/kanji/安?jlpt=4,144
近,ちか.い,"キン, コン","dekat, awal, serupa, setara","近代【きんだい】hari ini, zaman modern, masa kini, periode modern awal (di Jepang, biasanya dari Restorasi Meiji hingga akhir Perang Dunia II)","近頃【ちかごろ】akhir-akhir ini, baru-baru ini, sekarang ini, sangat, sangat, ...","最近【さいきん】baru-baru ini, akhir-akhir ini, saat ini, sekarang juga, terdekat",https://kanjikana.com/id/kanji/近?jlpt=4,194
真,"ま, ま-, まこと",シン,"benar, kenyataan, sekte buddha","真剣【しんけん】serius, pedang asli (dibandingkan dengan senjata latihan kayu)","真面目【まじめ】serius, waras, kuburan, jujur, tulus","真っ赤【まっか】merah terang, merah tua, merah (wajah), benar-benar (misalnya, bohong), lengkap, ...",https://kanjikana.com/id/kanji/真?jlpt=4,279
少,"すく.ない, すこ.し",ショウ,"beberapa, sedikit","少年【しょうねん】anak laki-laki, remaja, anak laki-laki muda, pemuda","少女【しょうじょ】gadis, gadis muda, wanita berusia antara 17 dan 20 tahun (periode ritsuryō)","少々【しょうしょう】hanya sebentar, jumlah kecil",https://kanjikana.com/id/kanji/少?jlpt=4,287
切,"き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ","セツ, サイ","potong, pemotongan, tajam","裏切る【うらぎる】mengkhianati, berkhianat kepada","切れる【きれる】memecahkan, memotret, untuk dipotong, membelah, cedera, ...","横切る【よこぎる】menyeberang, melintasi",https://kanjikana.com/id/kanji/切?jlpt=4,324
主,"ぬし, おも, あるじ","シュ, ス, シュウ","tuan, kepala, hal utama, kepala sekolah","主張【しゅちょう】klaim, kegigihan, pernyataan, advokasi, penekanan, ...","主要【しゅよう】kepala, utama, kepala sekolah",主に【おもに】terutama,https://kanjikana.com/id/kanji/主?jlpt=4,95
終,"お.わる, -お.わる, おわ.る, お.える, つい, つい.に",シュウ,"akhir, selesai","最終【さいしゅう】terakhir, akhir, penutupan, kereta (bus, penerbangan, dll.) terakhir","終える【おえる】menyelesaikan, lulus","終わり【おわり】akhir, tutup, kesimpulan, akhir hidup seseorang, kematian",https://kanjikana.com/id/kanji/終?jlpt=4,256
楽,"たの.しい, たの.しむ, この.む","ガク, ラク, ゴウ","musik, kenyamanan, kemudahan","楽【らく】kenyamanan, kemudahan, lega, dalam kedamaian, relaksasi, ...","楽しむ【たのしむ】menikmati, bersenang-senang, menantikan","楽しみ【たのしみ】kenikmatan, pengalihan, hiburan, hobi, antisipasi, ...",https://kanjikana.com/id/kanji/楽?jlpt=4,98
道,"みち, いう","ドウ, トウ","jalan raya, jalan, distrik, perjalanan, kursus, moral, ajaran","道路【どうろ】jalan, jalan raya","歩道【ほどう】trotoar, jalan setapak",道徳【どうとく】moral,https://kanjikana.com/id/kanji/道?jlpt=4,207
音,"おと, ね","オン, イン, -ノン","suara, kebisingan","物音【ものおと】kebisingan, suara","騒音【そうおん】kebisingan, hari","音【おと】suara, kebisingan, laporan, catatan, ketenaran, ...",https://kanjikana.com/id/kanji/音?jlpt=4,491
着,"き.る, き.せる, つ.く, つ.ける","チャク, ジャク","bos, tiba, memakai, penghitung untuk setelan pakaian",到着【とうちゃく】kedatangan,下着【したぎ】pakaian dalam,"着物【きもの】kimono, pakaian tradisional jepang (khususnya yang panjang), pakaian",https://kanjikana.com/id/kanji/着?jlpt=4,376
親,"おや, おや-, した.しい, した.しむ",シン,"orang tua, keintiman, kerabat, keakraban, bandar (kartu)",父親【ちちおや】ayah,母親【ははおや】ibu,"親友【しんゆう】sahabat dekat, sahabat karib, teman, kroni, teman dekat",https://kanjikana.com/id/kanji/親?jlpt=4,406
始,"はじ.める, -はじ.める, はじ.まる",シ,mulai,"開始【かいし】mulai, peresmian, awal, inisiasi","始まり【はじまり】asal, awal, mulai","始める【はじめる】memulai, berasal, memulai usaha (bisnis, perkumpulan, dll.), membuka (misalnya sebuah toko), mendirikan, ...",https://kanjikana.com/id/kanji/始?jlpt=4,244
多,"おお.い, まさ.に, まさ.る",タ,"banyak, sering","多少【たしょう】sedikit, beberapa, agak, sampai batas tertentu, jumlah, ...","多い【おおい】banyak, jumlah besar, sering, umum","多分【たぶん】mungkin, dermawan, banyak, hebat",https://kanjikana.com/id/kanji/多?jlpt=4,139
早,"はや.い, はや, はや-, はや.まる, はや.める, さ-","ソウ, サッ","awal, cepat","早い【はやい】cepat, petunjuk, dini, segera, lebih awal dari biasanya, ...",,,https://kanjikana.com/id/kanji/早?jlpt=4,402
仕,つか.える,"シ, ジ","menghadiri, melakukan, resmi, melayani","仕方【しかた】cara, metode, berarti, sumber daya, kursus","仕事【しごと】kerja, pekerjaan, tenaga kerja, bisnis, tugas",,https://kanjikana.com/id/kanji/仕?jlpt=4,94
海,うみ,カイ,"laut, samudra","海外【かいがい】asing, luar negeri",海岸【かいがん】pantai,"海【うみ】laut, samudra, air",https://kanjikana.com/id/kanji/海?jlpt=4,200
悪,"わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む","アク, オ","buruk, wakil, nakal, salah, jahat","悪魔【あくま】setan, iblis, māra, roh jahat atau kekuatan yang menghalangi jalan seseorang menuju pencerahan","悪口【わるぐち】fitnah, mencela, penyalahgunaan, penghinaan, mengatakan hal buruk","悪い【わるい】buruk, miskin, tidak diinginkan, rendah, tidak cukup, ...",https://kanjikana.com/id/kanji/悪?jlpt=4,60
止,"と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し",シ,berhenti,"禁止【きんし】larangan, inhibisi, melarang","中止【ちゅうし】gangguan, penghentian, suspensi, pembatalan (acara yang direncanakan), membatalkan","止める【とめる】berhenti, mematikan, memarkir, mencegah, menekan (batuk), ...",https://kanjikana.com/id/kanji/止?jlpt=4,310
重,"え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも","ジュウ, チョウ","berat, penting, penghargaan, menghormati, menumpuk, sarang kotak, -lipat","重要【じゅうよう】penting, esensial, kepala sekolah, utama","慎重【しんちょう】hati-hati, bijaksana, sengaja",貴重【きちょう】berharga,https://kanjikana.com/id/kanji/重?jlpt=4,193
画,"えが.く, かく.する, かぎ.る, はかりごと, はか.る","ガ, カク, エ, カイ","tekanan kuas, gambar","計画【けいかく】rencana, proyek, jadwal, skema, program","画家【がか】pelukis, seniman","絵画【かいが】lukisan, gambar",https://kanjikana.com/id/kanji/画?jlpt=4,199
口,くち,"コウ, ク",mulut,"悪口【わるぐち】fitnah, mencela, penyalahgunaan, penghinaan, mengatakan hal buruk","利口【りこう】pintar, cerdas, terang, bijaksana, masuk akal, ...","人口【じんこう】populasi, percakapan umum",https://kanjikana.com/id/kanji/口?jlpt=4,284
味,"あじ, あじ.わう",ミ,rasa,"味方【みかた】teman, sekutu, pendukung, memihak (kepada), mendukung, ...","気味【きみ】sensasi, perasaan, kecenderungan","味【あじ】rasa, pesona, banding, keunikan, daya tarik, ...",https://kanjikana.com/id/kanji/味?jlpt=4,442
空,"そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい",クウ,"kosong, langit, vakum","空【から】kekosongan, merasa kosong, tidak membawa apa-apa, bebas beban, dengan tangan hampa, ...","空く【すく】menjadi kurang ramai, menipis, menjadi kosong, lapar","航空【こうくう】penerbangan, terbang",https://kanjikana.com/id/kanji/空?jlpt=4,304
身,み,シン,"seseorang, orang, kedudukan seseorang dalam kehidupan","身【み】tubuh seseorang, orang tersebut, diri sendiri, penampilan seseorang, tempat seseorang (dalam masyarakat, dll.), ...","出身【しゅっしん】asal usul seseorang (misalnya kota, negara, keturunan, sekolah)","独身【どくしん】lajang, tunggal, belum menikah, selibat",https://kanjikana.com/id/kanji/身?jlpt=4,320
運,はこ.ぶ,ウン,"membawa, keberuntungan, takdir, nasib, banyak, transportasi, kemajuan, maju","運転【うんてん】operasi (mesin), berlari, bekerja, mengemudi, penggunaan (modal, dana, dll.), ...","幸運【こううん】semoga berhasil, keberuntungan","運【うん】keberuntungan, kesempatan",https://kanjikana.com/id/kanji/運?jlpt=4,255
帰,"かえ.る, かえ.す, おく.る, とつ.ぐ",キ,"pulang kampung, tiba di, menyebabkan, berakibat dalam","帰宅【きたく】kembali ke rumah, pulang ke rumah, sampai di rumah",帰り【かえり】kembali,"帰る【かえる】mengembalikan, pulang ke rumah, kembali, pergi, sampai di rumah, ...",https://kanjikana.com/id/kanji/帰?jlpt=4,504
集,"あつ.まる, あつ.める, つど.う",シュウ,"mengumpulkan, bertemu, berkumpul, gerombolan, kawanan","集中【しゅうちゅう】konsentrasi (pada tugas), memfokuskan perhatian seseorang, konsentrasi (populasi, bangunan, kekuatan, dll.), sentralisasi, konvergensi, ...","集団【しゅうだん】kelompok, massa","集まり【あつまり】pertemuan, perakitan, koleksi, kehadiran",https://kanjikana.com/id/kanji/集?jlpt=4,210
急,"いそ.ぐ, いそ.ぎ, せ.く",キュウ,"cepat, darurat, tiba-tiba, curam","急激【きゅうげき】tiba-tiba, cepat, tajam, drastis, radikal",急速【きゅうそく】cepat,"急ぐ【いそぐ】bergegas, terburu-buru, mempercepat, mempercepat sesuatu",https://kanjikana.com/id/kanji/急?jlpt=4,309
足,"あし, た.りる, た.る, た.す",ソク,"kaki, cukup, penghitung pasang sepatu","満足【まんぞく】kepuasan, cukup, memuaskan, layak, memuaskan (persamaan)","不足【ふそく】kekurangan, kurang, kelangkaan, defisit, ketidakpuasan, ...","足りる【たりる】cukup, layak dilakukan, layak akan, layak, mengerjakan (pekerjaan), ...",https://kanjikana.com/id/kanji/足?jlpt=4,343
売,"う.る, う.れる",バイ,jual,"商売【しょうばい】perdagangan, bisnis, pekerjaan, panggilan, profesi","売れる【うれる】laris, dikenal baik, menjadi populer, menjadi terkenal","販売【はんばい】penjualan, menjual, pemasaran",https://kanjikana.com/id/kanji/売?jlpt=4,202
