Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
月,つき,"ゲツ, ガツ",bulan,来月【らいげつ】bulan depan,今月【こんげつ】bulan ini,先月【せんげつ】bulan lalu,https://kanjikana.com/id/kanji/月?jlpt=5,23
小,"ちい.さい, こ-, お-, さ-",ショウ,kecil,"小説【しょうせつ】novel, cerita, karya fiksi",小学校【しょうがっこう】sekolah dasar,小鳥【ことり】burung kecil,https://kanjikana.com/id/kanji/小?jlpt=5,114
聞,"き.く, き.こえる","ブン, モン","dengar, tanya, mendengarkan","聞こえる【きこえる】didengar, terdengar, sampai ke telinga seseorang, berbunyi (seperti), terkesan sebagai, ...",新聞社【しんぶんしゃ】perusahaan surat kabar,"聞く【きく】mendengar, mendengarkan, bertanya, menanyakan, mengajukan pertanyaan, ...",https://kanjikana.com/id/kanji/聞?jlpt=5,319
食,"く.う, く.らう, た.べる, は.む","ショク, ジキ","makan, makanan",食料品【しょくりょうひん】bahan makanan,"食べる【たべる】makan, hidup dari, bergantung pada",食べ物【たべもの】makanan,https://kanjikana.com/id/kanji/食?jlpt=5,328
書,"か.く, -が.き, -がき",ショ,tulis,"書く【かく】menulis, menyusun, menggambar, melukis","辞書【じしょ】kamus, leksikon, surat pengunduran diri",図書館【としょかん】perpustakaan,https://kanjikana.com/id/kanji/書?jlpt=5,169
山,やま,"サン, セン",gunung,"山【やま】gunung, bukit, tambang, tumpukan, mahkota (topi), ...","沢山【たくさん】banyak, sejumlah besar, banyak sekali, tawaran yang baik, cukup, ...",,https://kanjikana.com/id/kanji/山?jlpt=5,131
電,,デン,listrik,電報【でんぽう】telegram,電灯【でんとう】lampu listrik,"電話【でんわ】panggilan telepon, panggilan telepon, telepon (perangkat), telepon",https://kanjikana.com/id/kanji/電?jlpt=5,268
二,"ふた, ふた.つ, ふたたび","ニ, ジ","dua, dua radikal (no. 7)",二階建て【にかいだて】bangunan dua lantai,"二【に】dua, 2","二人【ふたり】dua orang, pasangan",https://kanjikana.com/id/kanji/二?jlpt=5,9
車,くるま,シャ,mobil,"駐車場【ちゅうしゃじょう】tempat parkir, garasi parkir","汽車【きしゃ】kereta api (khususnya kereta jarak jauh), kereta uap","車【くるま】mobil, kendaraan, roda, kastor, penyiar",https://kanjikana.com/id/kanji/車?jlpt=5,333
水,"みず, みず-",スイ,air,"水道【すいどう】pasokan air, layanan air, instalasi air, air keran, saluran, ...",水泳【すいえい】berenang,"水【みず】air (khususnya air yang sejuk dan segar, seperti air minum), cairan (khususnya dalam jaringan hewan), cair, banjir, air yang diberikan kepada pegulat tepat sebelum pertandingan, ...",https://kanjikana.com/id/kanji/水?jlpt=5,223
木,"き, こ-","ボク, モク","pohon, kayu","木綿【もめん】katun, pohon kapas merah (Bombax ceiba)","木【き】pohon, semak, kayu, klapper kayu (menandai awal atau akhir dari sebuah pertunjukan)",,https://kanjikana.com/id/kanji/木?jlpt=5,317
母,"はは, も",ボ,ibu,祖母【そぼ】nenek,"お母さん【おかあさん】ibu, istri",,https://kanjikana.com/id/kanji/母?jlpt=5,100
校,,"コウ, キョウ","ujian, sekolah, percetakan, bukti, koreksi",高校【こうこう】sekolah menengah atas,"校長【こうちょう】kepala sekolah, kepala sekolah wanita",高校生【こうこうせい】siswa sekolah menengah atas,https://kanjikana.com/id/kanji/校?jlpt=5,294
父,ちち,フ,ayah,"祖父【そふ】kakek, orang tua laki-laki, topeng kyogen yang digunakan untuk peran seorang pria tua","お父さん【おとうさん】ayah, pop, dada, suami, kamu, ...",,https://kanjikana.com/id/kanji/父?jlpt=5,85
白,"しろ, しら-, しろ.い","ハク, ビャク",putih,"面白い【おもしろい】menarik, memikat, mempesona, menghibur, lucu, ...","白【しろ】putih, kepolosan, orang yang tidak bersalah, ruang kosong, batu go putih, ...",白い【しろい】putih,https://kanjikana.com/id/kanji/白?jlpt=5,483
語,"かた.る, かた.らう",ゴ,"kata, pidato, bahasa",英語【えいご】bahasa inggris,,,https://kanjikana.com/id/kanji/語?jlpt=5,301
十,"とお, と, そ","ジュウ, ジッ, ジュッ",sepuluh,"十分【じゅうぶん】cukup, banyak, memuaskan, penuh, secara menyeluruh, ...","十【じゅう】sepuluh, 10, sepuluh tahun usia, buku yang berisi kumpulan puisi",,https://kanjikana.com/id/kanji/十?jlpt=5,8
万,よろず,"マン, バン","sepuluh ribu, 10.000","万【まん】10.000, sepuluh ribu, banyak sekali, segala sesuatu, semua, ...",万年筆【まんねんひつ】pulpen,,https://kanjikana.com/id/kanji/万?jlpt=5,375
友,とも,ユウ,teman,友達【ともだち】teman,,,https://kanjikana.com/id/kanji/友?jlpt=5,622
川,かわ,セン,"sungai, sungai atau radikal sungai tiga garis (no. 47)","川【かわ】sungai, arus, sungai ...",,,https://kanjikana.com/id/kanji/川?jlpt=5,181
三,"み, み.つ, みっ.つ","サン, ゾウ",tiga,三【さん】tiga,三【サン】tiga,"三つ【みっつ】tiga, tiga tahun usia",https://kanjikana.com/id/kanji/三?jlpt=5,14
天,"あまつ, あめ, あま-",テン,"surga, langit, imperial","天気【てんき】cuaca, cuaca cerah",,,https://kanjikana.com/id/kanji/天?jlpt=5,512
東,ひがし,トウ,timur,東【ひがし】timur,,,https://kanjikana.com/id/kanji/東?jlpt=5,37
半,なか.ば,ハン,"setengah, tengah, bilangan ganjil, semi-, bagian",半分【はんぶん】setengah,"半【はん】setengah, semi-, setengah lewat, bilangan ganjil, han (satuan luas tanah, sekitar 595.8 m^2)",,https://kanjikana.com/id/kanji/半?jlpt=5,224
北,きた,ホク,utara,"北【きた】utara, wilayah utara, Korea Utara, angin utara",,,https://kanjikana.com/id/kanji/北?jlpt=5,153
火,"ひ, -び, ほ-",カ,api,"火【ひ】api, nyala api","火事【かじ】api, kebakaran besar",火曜日【かようび】selasa,https://kanjikana.com/id/kanji/火?jlpt=5,574
土,つち,"ド, ト","tanah, bumi, turki",土曜日【どようび】Sabtu,,,https://kanjikana.com/id/kanji/土?jlpt=5,307
南,みなみ,"ナン, ナ",selatan,南【みなみ】selatan,,,https://kanjikana.com/id/kanji/南?jlpt=5,341
千,ち,セン,seribu,千【せん】seribu,,,https://kanjikana.com/id/kanji/千?jlpt=5,195
西,にし,"セイ, サイ, ス","barat, spanyol","西洋【せいよう】barat, negara-negara barat",西【にし】barat,,https://kanjikana.com/id/kanji/西?jlpt=5,259
毎,"ごと, -ごと.に",マイ,setiap,毎日【まいにち】setiap hari,"毎年【まいとし】setiap tahun, tahunan",毎晩【まいばん】setiap malam,https://kanjikana.com/id/kanji/毎?jlpt=5,436
休,"やす.む, やす.まる, やす.める",キュウ,"istirahat, hari libur, pensiun, tidur","昼休み【ひるやすみ】istirahat makan siang, istirahat siang, periode istirahat siang","休む【やすむ】tidak hadir, mengambil cuti sehari, beristirahat, mengambil istirahat, pergi tidur, ...","休み【やすみ】istirahat, jeda, liburan, ketidakhadiran, suspensi, ...",https://kanjikana.com/id/kanji/休?jlpt=5,642
八,"や, や.つ, やっ.つ, よう","ハチ, ハツ","delapan, delapan radikal (no. 12)",八【はち】delapan,"八百屋【やおや】tukang sayur, toko buah dan sayur",,https://kanjikana.com/id/kanji/八?jlpt=5,92
読,"よ.む, -よ.み","ドク, トク, トウ",baca,"読む【よむ】membaca, membacakan (misalnya, sebuah sutra), membaca mantra, memprediksi, menebak, ...",,,https://kanjikana.com/id/kanji/読?jlpt=5,618
五,"いつ, いつ.つ",ゴ,lima,五【ご】lima,"五つ【いつつ】lima, lima tahun usia, delapan lewat (sistem waktu lama)",,https://kanjikana.com/id/kanji/五?jlpt=5,31
四,"よ, よ.つ, よっ.つ, よん",シ,empat,"四【し】empat, 4","四つ【よっつ】empat, 4, empat tahun usia, jam sepuluh (dalam sistem waktu lama), burakumin, ...",,https://kanjikana.com/id/kanji/四?jlpt=5,47
百,もも,"ヒャク, ビャク",seratus,百【ひゃく】seratus,"八百屋【やおや】tukang sayur, toko buah dan sayur",,https://kanjikana.com/id/kanji/百?jlpt=5,163
円,"まる.い, まる, まど, まど.か, まろ.やか",エン,"lingkaran, yen, bulat",,,,https://kanjikana.com/id/kanji/円?jlpt=5,69
午,うま,ゴ,"siang, tanda zodiak kuda, 11 pagi-1 siang, tanda ketujuh zodiak cina",午後【ごご】sore,午前【ごぜん】pagi,,https://kanjikana.com/id/kanji/午?jlpt=5,154
七,"なな, なな.つ, なの",シチ,tujuh,七【しち】tujuh,"七つ【ななつ】tujuh, tujuh tahun usia, empat lewat (sistem waktu lama)",,https://kanjikana.com/id/kanji/七?jlpt=5,115
左,ひだり,"サ, シャ",kiri,"左【ひだり】kiri, sisi kiri",,,https://kanjikana.com/id/kanji/左?jlpt=5,630
右,みぎ,"ウ, ユウ",kanan,"右【みぎ】benar, sisi kanan, sudah disebutkan sebelumnya, sebelumnya, mengabaikan, ...",,,https://kanjikana.com/id/kanji/右?jlpt=5,602
雨,"あめ, あま-, -さめ",ウ,hujan,"雨【あめ】hujan, hari hujan, cuaca hujan, baju November (dalam hanafuda)",,,https://kanjikana.com/id/kanji/雨?jlpt=5,950
六,"む, む.つ, むっ.つ, むい","ロク, リク",enam,"六【ろく】enam, 6",,,https://kanjikana.com/id/kanji/六?jlpt=5,93
九,"ここの, ここの.つ","キュウ, ク",sembilan,"九つ【ここのつ】sembilan, sembilan tahun usia, dua belas lewat (sistem waktu lama)",,,https://kanjikana.com/id/kanji/九?jlpt=5,55
